,nfe,improvements
0,100,19
1,200,27
2,300,33
3,400,42
4,500,52
5,600,65
6,700,81
7,800,98
8,900,116
9,1000,132
10,1100,148
11,1200,161
12,1300,179
13,1400,193
14,1500,199
15,1600,207
16,1700,220
17,1800,235
18,1900,246
19,2000,256
20,2100,270
21,2200,277
22,2300,291
23,2400,300
24,2500,314
25,2600,329
26,2700,341
27,2800,357
28,2900,368
29,3000,384
30,3100,401
31,3200,417
32,3300,434
33,3400,447
34,3500,461
35,3600,471
36,3700,482
37,3800,497
38,3900,506
39,4000,521
40,4100,531
41,4200,542
42,4300,556
43,4400,562
44,4500,569
45,4600,575
46,4700,587
47,4800,591
48,4900,600
49,5000,606
50,5100,616
51,5200,627
52,5300,646
53,5400,651
54,5500,659
55,5600,666
56,5700,669
57,5800,675
58,5900,687
59,6000,697
60,6100,706
61,6200,715
62,6300,729
63,6400,742
64,6500,756
65,6600,766
66,6700,774
67,6800,789
68,6900,801
69,7000,807
70,7100,813
71,7200,821
72,7300,830
73,7400,838
74,7500,842
75,7600,854
76,7700,860
77,7800,864
78,7900,870
79,8000,878
80,8100,889
81,8200,892
82,8300,897
83,8400,904
84,8500,910
85,8600,921
86,8700,927
87,8800,933
88,8900,937
89,9000,938
90,9100,941
91,9200,945
92,9300,952
93,9400,955
94,9500,965
95,9600,972
96,9700,982
97,9800,988
98,9900,995
99,10207,1002
100,10483,1012
101,10759,1030
102,11035,1053
103,11311,1079
104,11587,1099
105,11863,1117
106,12139,1139
107,12415,1158
108,12691,1177
109,12967,1190
110,13243,1207
111,13519,1220
112,13795,1234
113,14071,1248
114,14347,1267
115,14623,1284
116,14899,1297
117,15175,1319
118,15451,1332
119,15727,1347
120,16003,1359
121,16279,1378
122,16555,1392
123,16831,1415
124,17107,1437
125,17383,1448
126,17659,1471
127,17935,1486
128,18211,1506
129,18487,1521
130,18763,1542
131,19039,1561
132,19315,1574
133,19591,1600
134,19867,1624
135,20143,1645
136,20419,1665
137,20695,1684
138,20971,1707
139,21247,1728
140,21523,1749
141,21799,1774
142,22075,1786
143,22351,1799
144,22627,1816
145,22903,1825
146,23179,1836
147,23455,1851
148,23731,1869
149,24007,1880
150,24283,1898
151,24559,1916
152,24835,1926
153,25111,1931
154,25387,1948
155,25663,1958
156,25939,1970
157,26215,1983
158,26491,1992
159,26767,2006
160,27043,2020
161,27319,2027
162,27595,2031
163,27871,2038
164,28147,2047
165,28423,2057
166,28699,2067
167,28975,2078
168,29251,2086
169,29527,2098
170,29803,2107
171,30079,2113
172,30355,2120
173,30631,2131
174,30907,2137
175,31183,2140
176,31459,2147
177,31735,2155
178,32011,2165
179,32287,2170
180,32563,2174
181,32839,2176
182,33115,2180
183,33391,2185
184,33667,2188
185,33943,2192
186,34219,2194
187,34495,2198
188,34771,2203
189,35047,2206
190,35323,2208
191,35599,2212
192,35875,2216
193,36151,2221
194,36427,2221
195,36703,2226
196,36979,2229
197,37255,2232
198,37531,2233
199,37915,2235
200,38059,2236
201,38203,2238
202,38347,2241
203,38491,2245
204,38635,2248
205,38779,2250
206,38923,2252
207,39067,2253
208,39211,2254
209,39355,2256
210,39499,2258
211,39643,2260
212,39787,2260
213,39931,2260
214,40075,2261
215,40219,2263
216,40363,2265
217,40507,2267
218,40651,2268
219,40795,2270
220,40939,2272
221,41083,2273
222,41227,2276
223,41371,2279
224,41515,2280
225,41659,2281
226,41803,2282
227,41947,2282
228,42091,2282
229,42235,2282
230,42379,2283
231,42523,2284
232,42667,2285
233,42811,2285
234,42955,2286
235,43099,2287
236,43243,2287
237,43387,2287
238,43531,2287
239,43675,2287
240,43819,2287
241,43963,2287
242,44107,2287
243,44251,2287
244,44395,2287
245,44539,2287
246,44683,2288
247,44827,2289
248,44971,2290
249,45115,2290
250,45259,2292
251,45403,2293
252,45547,2294
253,45691,2295
254,45835,2295
255,45979,2296
256,46123,2296
257,46267,2296
258,46411,2296
259,46555,2296
260,46699,2296
261,46843,2296
262,46987,2296
263,47131,2296
264,47275,2296
265,47419,2297
266,47563,2297
267,47707,2297
268,47851,2298
269,47995,2298
270,48139,2298
271,48283,2300
272,48427,2301
273,48571,2302
274,48715,2304
275,48859,2304
276,49003,2304
277,49147,2305
278,49291,2305
279,49435,2305
280,49579,2305
281,49723,2306
282,49867,2307
283,50011,2307
